Id;error_L2;error_H1;norm_L2;norm_H1
0;6.3354994390998287e-06;1.8249061778669680e-03;9.1273096844503299e-03;8.8695935669497600e-03
1;5.5373237874463867e-06;3.4742022228467506e-03;1.0044621696059125e-02;8.4729774758491964e-03
2;5.1428183011557970e-07;1.2699659410529951e-03;5.7773695718683939e-03;6.7934961838899185e-03
3;3.8246143023712725e-06;1.6266956382046649e-03;5.8963776116629238e-03;8.4100366257666287e-03
4;3.5892435508562001e-06;6.4466339586953286e-04;3.9530348570111585e-03;2.1397862815020138e-02
5;1.0402487101457151e-05;7.5882320648726180e-03;2.3471845173532797e-02;5.0624934983676699e-02
6;2.3575666207147015e-06;8.6765273724075185e-05;2.6005595049489916e-03;9.4197478479040760e-03
7;7.3296947358201468e-06;6.9383545080977586e-04;7.5051601099807479e-03;1.4341451447649527e-02
8;5.7829712524415700e-06;1.2690560469721741e-02;3.0702970400527538e-02;1.9808753307328503e-01
9;3.2858139991742334e-06;1.5574735517772768e-03;6.6917844928775626e-03;8.0982734081159365e-03
10;2.9410104561888808e-06;9.9500222017995330e-05;2.9606616546123750e-03;7.2214773447192866e-03
11;7.6818232367649325e-06;2.1292957653823119e-04;8.3863572421942062e-03;1.6634661814161678e-02
12;4.4176475032702842e-05;3.8522023976112589e-03;4.1499682756900302e-02;8.1671205092176902e-02
13;1.5076217288537529e-06;3.7209695431217439e-03;3.8358786709231291e-02;2.8909675377232052e-01
14;3.0178678573374127e-06;1.1194221724564603e-04;6.0553958057395964e-03;1.6692879713743607e-02
15;2.7414004567180295e-06;1.9753343058844978e-04;4.0363534962561077e-03;2.8329517783134167e-02
16;4.1461340672533467e-06;9.0277662419947931e-05;7.8849027117812095e-03;1.9037082888834773e-02
17;2.2738446314352474e-06;8.7424631829945766e-05;5.3053180146833837e-03;2.2505626952700852e-03
18;5.2601875120921458e-06;2.3367293119483097e-04;1.0775204379659722e-02;8.1918967342899732e-03
19;1.8000990512288890e-06;2.0572330770191169e-04;4.0805793310597360e-03;4.4524567061108656e-03
20;3.7324017619988288e-06;3.8331763264231038e-04;6.7227835305451681e-03;5.3308066145175484e-03
21;4.7403159563653753e-06;1.2116047213719648e-04;8.8016655765383138e-03;2.7697944881918579e-03
22;9.7336301295994967e-06;4.8218417373945482e-04;1.3050497555595971e-02;9.1905118091145377e-03
23;2.5555422629083519e-06;6.5966504239540962e-05;6.0403610517792599e-03;8.9957743751977268e-03
24;3.2749565075582496e-06;2.1308252817952710e-04;7.3536505951189990e-03;1.9029552791715844e-02
25;2.7245185578810940e-06;1.6361477514120274e-04;3.7445396773437035e-03;6.5746468510746569e-03
26;3.2444657224825741e-06;1.4515257408747609e-02;3.0646994435568339e-02;1.9337039164517902e-01
27;8.5119039950412979e-06;2.9430070874850400e-04;1.4782514395362682e-02;6.5674618382272586e-03
28;1.6558662627893209e-05;9.4315891848173971e-04;2.2924655387083756e-02;1.0376272396668001e-01
29;5.2790848256422041e-05;4.5289920956695416e-03;4.5221293053068025e-02;7.9515942458612043e-02
