Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;7.8866878487462087e+00;7.8866878487461989e+00;1.0000000000000000e+00;1.8571536129446793e-16;1.0099413479722941e-15;2.2204460492503131e-16;1.6731064146363790e-17;6.4896716826895389e-17;9.3126385022079096e-32
1;3;3;1.3576181452081507e+01;1.3576181452081478e+01;1.0000000000000000e+00;1.8415324172389306e-16;1.7496335325875820e-15;0.0000000000000000e+00;1.9049893716537778e-16;0.0000000000000000e+00;2.2170933741189487e-32
2;3;3;2.7386127875258306e+00;2.7386127875258306e+00;1.0000000000000000e+00;1.8410966031475738e-16;2.2262209511987996e-16;2.2204460492503131e-16;1.4950514515519683e-17;2.0307106261917871e-16;8.7788760944834907e-32
3;3;3;2.0057099191814334e+01;2.0057099191814341e+01;1.0000000000000000e+00;5.7355460412897320e-16;6.3475078315813094e-16;4.4408920985006262e-16;7.4378088024072229e-18;5.7499963109165101e-17;4.6690495007971029e-32
4;3;3;2.7386127875258270e+00;2.7386127875258266e+00;1.0000000000000000e+00;1.8508542653142544e-16;2.5529113299803909e-16;2.2204460492503131e-16;6.2000565300239185e-17;2.0333825901585033e-16;6.9915943430564794e-32
5;3;3;2.1938047807929451e+01;2.1938047807929479e+01;1.0000000000000000e+00;2.5689530830217451e-16;1.0577859853682338e-14;0.0000000000000000e+00;2.8295340804530296e-17;3.3771473124341275e-17;2.0236203012207776e-31
6;3;3;1.0730352125969276e+01;1.0730352125969278e+01;1.0000000000000000e+00;2.8713385560740992e-16;5.6723777734059136e-16;2.2204460492503131e-16;7.4195554307254008e-17;1.5105742298308637e-16;9.5915099718128547e-32
7;3;3;2.7386127875258266e+00;2.7386127875258262e+00;1.0000000000000000e+00;1.8208555044540396e-16;2.9955636795751822e-16;2.2204460492503131e-16;2.7492559574350613e-17;1.2925104306438855e-16;6.5565851688963146e-32
8;3;3;1.3270920005752661e+01;1.3270920005752654e+01;1.0000000000000000e+00;1.8219276896277793e-16;1.1325800426375008e-15;0.0000000000000000e+00;1.5800323169546377e-17;1.7011233395944429e-17;1.9271858980415074e-32
9;3;3;2.7386127875258306e+00;2.7386127875258306e+00;1.0000000000000000e+00;1.8410966031475738e-16;2.2262209511987996e-16;2.2204460492503131e-16;1.4950514515519683e-17;2.0307106261917871e-16;8.7788760944834907e-32
10;3;3;5.0491058217513247e+00;5.0491058217513256e+00;1.0000000000000000e+00;1.6144426875563159e-16;3.3138213291686342e-16;3.3306690738754696e-16;2.8171126937919286e-16;6.9585501907856152e-17;6.5189901328882028e-32
11;3;3;4.7845026699368285e+00;4.7845026699368294e+00;1.0000000000000000e+00;1.9578053592570636e-16;5.4254060264761148e-16;0.0000000000000000e+00;2.2954154784640282e-17;5.4623934192573766e-17;6.1343312601860925e-32
12;3;3;5.8914111312972004e+00;5.8914111312972004e+00;1.0000000000000000e+00;2.5664528847817071e-16;5.4105577489465900e-16;0.0000000000000000e+00;1.2274840114071115e-17;9.1255691385940593e-17;3.5026471404995408e-33
13;3;3;6.9382168281420000e+00;6.9382168281420000e+00;1.0000000000000000e+00;1.5706034733299124e-16;1.9300439116167741e-16;2.2204460492503131e-16;1.7367179423211051e-17;7.3293931428568673e-17;1.1865710410806367e-32
