errorH1, errInf, errorL2, h, condA
0.405515 2.21847 0.930817 1 432
0.405409 2.2213 0.864966 1 482
0.396612 2.22611 0.830281 1 574
0.390084 2.22929 0.794378 1 658
0.386314 2.23068 0.765128 1 798
0.388875 2.23062 0.76186 1 859
0.38728 2.23082 0.734816 1 1039
0.381817 2.23342 0.703904 1 1195
0.395044 2.23074 0.6779 1 1423
0.395062 2.23081 0.6697 1 1519
0.400387 2.2288 0.676546 1 1785
0.401897 2.22852 0.671965 1 2012
0.406011 2.22619 0.667481 1 2326
0.398634 2.22845 0.648447 1 2456
0.399099 2.2281 0.655187 1 2807
0.401715 2.22727 0.650964 1 3104
0.418704 2.22136 0.675974 1 3504
0.425091 2.21985 0.583678 1 3668
0.417066 2.22181 0.627284 1 4107
0.432693 2.21676 0.644199 1 4472
