Id;error_L2;error_H1;norm_L2;norm_H1
0;7.8569738176878913e-09;1.2049332044438812e-04;2.2030292239986968e-03;3.4215028679280548e-04
1;4.2649664816328797e-08;4.8794283697884257e-04;4.5089659632890277e-03;6.2996454975679482e-03
2;9.8945455525758431e-10;2.7741185444970738e-05;1.4746146877823120e-03;4.9104634156453188e-03
3;8.4552747368954980e-09;1.1299610856700215e-04;3.3605244101110807e-03;1.6364214484657840e-02
4;2.1274641897778349e-09;3.5574062605578621e-05;2.3404238852669026e-03;1.5799803855173201e-02
5;3.3341435534825885e-09;4.1258970908825238e-05;2.9963586053079654e-03;2.4623714108205443e-02
6;7.2404246274715610e-09;6.2401745931801828e-05;5.0671106585644422e-03;4.9669321208025093e-02
7;2.7771965232873697e-09;2.4348398835306583e-05;4.2849125131382178e-03;4.5926006078101905e-02
8;1.1708008862402601e-10;2.2903257823107955e-06;3.9245368978105342e-04;4.2348727912903169e-03
9;1.4884946269771682e-08;8.5360817326834260e-05;6.0558663700259630e-03;5.9529249013230513e-02
10;1.8245356638720110e-09;2.1282098720505360e-05;2.1188644285555060e-03;1.7822343085072249e-02
11;8.3116820515285411e-09;8.6056948450073786e-05;3.5599990214152145e-03;2.4158442421002783e-02
12;2.5228987586373566e-10;9.5961325347393691e-06;8.4014749223750961e-04;4.6142599437408432e-03
13;4.1073955545732154e-08;4.0205877295153433e-04;4.9126269370093484e-03;1.6648844272799890e-02
14;1.6492695904685886e-09;3.5804475791889663e-05;1.4460102505818773e-03;2.1997806028054429e-03
15;3.8936409795068363e-08;4.3492233349636596e-04;3.8578353296344911e-03;1.3594314997933655e-03
16;2.7016241130711308e-08;2.5327146452408571e-04;3.6518925263336463e-03;2.8411107238514666e-03
17;1.5408775749678669e-07;7.9694400636875660e-04;8.0551232203740445e-03;1.1671118830977531e-02
18;3.7553992378930473e-09;7.5275342397606362e-05;2.7848576230216633e-03;6.9652846054543693e-03
19;3.7960334648028119e-08;2.2753820104410706e-04;6.5591368395570369e-03;2.2397535021666005e-02
20;1.3652006209261004e-08;9.3531551357002083e-05;4.7196060450787371e-03;2.0943959068738846e-02
21;2.5297215230094711e-08;1.1059624552082697e-04;6.1789522249506811e-03;3.2354464259037208e-02
22;7.7761844599755305e-08;1.8375510331133447e-04;1.0673657863290966e-02;6.4454653356862623e-02
23;4.2607804001071335e-08;1.1087489076562119e-04;9.1278626129561620e-03;5.9174624302974384e-02
24;1.4201831007038394e-09;9.0256463569776019e-06;8.3665769519414095e-04;5.4493702144954373e-03
25;1.5370111046761400e-07;2.4361906891597667e-04;1.2760758298995398e-02;7.7190008847227418e-02
26;1.4501369643730149e-08;6.6292644445246240e-05;4.3809539765212449e-03;2.3345370096161614e-02
27;4.7431723108683795e-08;1.8743590919237873e-04;7.1826237241607704e-03;3.1994892756172851e-02
28;1.6667405536668188e-09;3.1338771571933850e-05;1.6577874069445843e-03;6.1371734802409452e-03
29;1.8131350909208481e-07;6.6717374720410780e-04;9.2962264251748444e-03;2.4046928398239961e-02
30;6.6224291212567616e-09;9.5097771442209579e-05;2.5959561373295362e-03;3.8370109187157810e-03
31;1.4225412469777687e-07;7.3056150649776583e-04;6.5224443894519937e-03;5.6785159876766456e-03
32;5.5749766227102336e-08;4.3177499660166876e-04;5.5020225515242487e-03;1.4314630071111185e-02
33;4.3320736884095833e-07;1.1471024823418987e-03;1.3265230347811857e-02;2.7521232877275731e-02
34;3.0714703251114844e-08;1.5205909994104764e-04;4.8751116365526419e-03;1.0586160669490554e-02
35;1.8381805873183812e-07;4.1915100917559679e-04;1.1905311421250194e-02;2.8134860594011265e-02
36;9.7307731973362436e-08;2.1111178511940796e-04;8.8616711813246409e-03;2.3419138869652262e-02
37;1.6252003368596674e-07;2.6685887652972025e-04;1.1870841710978722e-02;3.4137990980625102e-02
38;5.4603326049228125e-07;5.0797746510421486e-04;2.0933039304480140e-02;6.4877676414280439e-02
39;3.8470443238035610e-07;3.6578192203210380e-04;1.8088568147731410e-02;5.8404853167833608e-02
40;1.7481164800957679e-08;2.7417604588699016e-05;1.6590239526168807e-03;5.3846950786379591e-03
41;9.6537576751020561e-07;6.7616256255622503e-04;2.5033792984801816e-02;7.7511179278760556e-02
42;1.0022343862485132e-07;1.6961364731819632e-04;8.4370113615447797e-03;2.4498620643216729e-02
43;2.6122328748321363e-07;3.8552553217619087e-04;1.3490555567367848e-02;3.5563802482612969e-02
44;2.2561183583701347e-08;6.9867717658060746e-05;3.0409191927126848e-03;7.4146343513749853e-03
45;6.4451601077917098e-07;1.0121938931715749e-03;1.6326459794570605e-02;3.5420403386698426e-02
46;2.3331168578412813e-08;1.7910195920555920e-04;4.2984997220774732e-03;9.0391785469509933e-03
47;3.6715381951741048e-07;1.0602605177375572e-03;1.0055225750445500e-02;2.3818798629880192e-02
48;2.6496839063180641e-08;2.2901535628866559e-04;5.3107929874096210e-03;2.7855945631029833e-02
49;4.0943702113351652e-07;7.4666381667920728e-04;1.3820603830050548e-02;4.2199720464803282e-02
50;4.1454832221203166e-08;8.9184837022051989e-05;5.3320304632594323e-03;1.2574600621540977e-02
51;2.0386338366652474e-07;2.9240419530144002e-04;1.3389923822900104e-02;2.5798323630183112e-02
52;1.0449901463194402e-07;1.5160417160778119e-04;1.0220141246345554e-02;1.7522174414891990e-02
53;1.6523096377122223e-07;2.1462311920721798e-04;1.3920770872889772e-02;2.2152131367460574e-02
54;6.9502618419776867e-07;5.0747613266202067e-04;2.4908424993698393e-02;3.7182198685803206e-02
55;4.8581662936439965e-07;3.6421791409418361e-04;2.1679690761316664e-02;3.1893252428965416e-02
56;1.8162023984146218e-08;2.2189727020510573e-05;1.9891726503566977e-03;2.9562260461231957e-03
57;1.2707896572710999e-06;7.2098453276674189e-04;2.9793583976764289e-02;4.4103742054748714e-02
58;9.4864998410314170e-08;1.3138905201073002e-04;9.9105405498002425e-03;1.5796626215992215e-02
59;2.8425118528861597e-07;2.9706099886546580e-04;1.5562407865843864e-02;2.6358434559442798e-02
60;2.8526843829921420e-08;4.6832159352206277e-05;3.4465043130963982e-03;6.6507639411835092e-03
61;6.7599074269648327e-07;7.2111846392800038e-04;1.7906226817214967e-02;3.9225154352513614e-02
62;1.9303639953731629e-08;9.9260234001118580e-05;4.4976793986220513e-03;1.4423696393128465e-02
63;2.9558076644259015e-07;6.3520102147215864e-04;9.9043339855813609e-03;4.4201540019144406e-02
64;2.4238192025386162e-09;3.0784670824750792e-05;2.0424448039853297e-03;1.4167604473308018e-02
65;9.5913762880086427e-08;1.7390144105510630e-04;5.5331814879230785e-03;2.0833220559409463e-02
66;3.7461620848614008e-09;8.5336968815401751e-06;2.1866306247987901e-03;5.4959849076906316e-03
