Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;4;6;3.1722253046315876e+00;3.1722253046315867e+00;1.0000000000000000e+00;1.4422220147876730e-16;1.2919517348320736e-16;0.0000000000000000e+00;1.7677695005214574e-16;0.0000000000000000e+00;0.0000000000000000e+00
1;4;6;2.8515040981282502e+00;2.8515040981282520e+00;1.0000000000000000e+00;0.0000000000000000e+00;1.3141222102480508e-16;0.0000000000000000e+00;3.1459494172768570e-17;1.1016978905353748e-16;7.0763110837545946e-17
2;4;6;3.7514961254459580e+00;3.7514961254459593e+00;1.0000000000000000e+00;0.0000000000000000e+00;3.0298953889937890e-16;2.2204460492503131e-16;4.6761277467732802e-17;1.2109145793506314e-16;0.0000000000000000e+00
3;4;6;3.8676810694574497e+00;3.8676810694574502e+00;1.0000000000000000e+00;1.8147562384249223e-16;4.0618714722301745e-16;0.0000000000000000e+00;1.3918451139695194e-16;1.9482061198741011e-16;2.7755575615628914e-17
4;4;6;4.4723739243233362e+00;4.4723739243233371e+00;1.0000000000000000e+00;1.2875964794116771e-16;3.1587849014369756e-16;2.2204460492503131e-16;2.4414587390484439e-17;2.7005040509939820e-16;2.8609792490763984e-17
5;4;6;3.1405140749595866e+00;3.1405140749595866e+00;1.0000000000000000e+00;1.4422220147876730e-16;1.8200548080610227e-16;2.2204460492503131e-16;1.8386553092880807e-16;1.1192480129673860e-16;5.1925927263190304e-17
6;4;6;2.9146852879018392e+00;2.9146852879018392e+00;1.0000000000000000e+00;1.7916147020621912e-17;1.4444459513666497e-16;2.2204460492503131e-16;2.0551397151662765e-16;0.0000000000000000e+00;2.7755575615628914e-17
7;4;6;3.5558821528303648e+00;3.5558821528303639e+00;1.0000000000000000e+00;1.2944338730181989e-16;1.3067738457833281e-16;2.2204460492503131e-16;3.4941860002156060e-17;8.3234763232522830e-17;2.7755575615628914e-17
8;4;6;2.9157561479782750e+00;2.9157561479782750e+00;1.0000000000000000e+00;0.0000000000000000e+00;1.3214297116801536e-16;2.2204460492503131e-16;1.4649612265226952e-17;1.1027703685880460e-16;0.0000000000000000e+00
9;4;6;4.4615622654252070e+00;4.4615622654252070e+00;1.0000000000000000e+00;8.0123445265981841e-18;2.7241971390433822e-16;2.2204460492503131e-16;8.6979018664924265e-18;0.0000000000000000e+00;0.0000000000000000e+00
