Id;error_L2;error_H1;norm_L2;norm_H1
0;2.0858584659441435e-05;4.4147652616099292e-03;5.7899866533944896e-02;7.7881752933328177e-02
1;1.0205378184283675e-05;1.2170706083971047e-02;2.3672792022405641e-02;2.4560145025175666e-02
2;2.1061608991699224e-06;2.6404573317916112e-03;1.6296106553147990e-02;5.9883295402044075e-02
3;8.9461879588062125e-06;6.7208066650165750e-03;4.7994903436337291e-02;9.6485517964094880e-02
4;3.9975368486784067e-07;2.6116143737623314e-03;1.7687326753345067e-02;1.2857301923406236e-01
5;7.8413916846824247e-06;6.1436595018767521e-03;5.4595383147121472e-02;2.0019510457203674e-01
6;9.3198919515415823e-06;1.6039001586701631e-03;3.5405585609382818e-02;5.7809461783017005e-02
7;5.3117623345100719e-06;2.9284381732941904e-03;3.1056817473043726e-02;9.7355264724765744e-02
8;4.6210972651649807e-05;6.9893048059172930e-03;8.2544467895870277e-02;1.9055605751857518e-01
9;3.7820005202473350e-06;1.8067997242820610e-03;3.1634318691854915e-02;2.2414902645221960e-01
10;9.8100679886084422e-06;2.0205975220830502e-03;4.3942089100634518e-02;6.0819746307030423e-02
11;2.9557292750888156e-05;5.7335396224220490e-03;6.1244054504769996e-02;5.6573318539391911e-02
12;3.7635517039278648e-05;7.8099515533820770e-03;8.0118362548415867e-02;3.0500630374466674e-02
13;2.2381083221244676e-05;6.5476331440645526e-03;5.7317583802188821e-02;2.4188215049231820e-01
14;6.0611388669458440e-06;1.9750309483352645e-03;3.5894326229766710e-02;5.7407572224720441e-02
15;7.6107239628595264e-07;1.1092002092211080e-03;1.9747056801545364e-02;1.5561452079095339e-01
16;2.0012839009486362e-05;1.2052028563487496e-02;3.2018076540671736e-02;9.9344287031097100e-02
17;8.8623478124868746e-06;8.9773285495727325e-03;2.5045676552993903e-02;3.2655582104527792e-02
18;4.9229104631026268e-06;4.9615110476356420e-03;2.1876001544198213e-02;3.9616573751732345e-02
19;2.6639151852001995e-05;3.5133631416275901e-03;6.1298955077505740e-02;7.7092043839805863e-02
20;1.4808281316573783e-05;1.9345118510687052e-03;4.3763169961154397e-02;7.2747601096286502e-02
21;6.1492344045646586e-05;7.2285040614162230e-03;9.9296417024719225e-02;2.5839690539472309e-02
22;2.2689693508003885e-05;5.6920189597271988e-03;7.1679914783618542e-02;9.7272283256901668e-02
23;8.4597113838359681e-06;3.2542976336225153e-03;3.7534862021318734e-02;2.0949416827147621e-01
24;3.1841148353748140e-06;1.7550602062208929e-03;2.7064345119638310e-02;5.2706453521912958e-02
25;3.7928777496342487e-06;3.3228005407382019e-03;2.5275834919890605e-02;9.4169441824841660e-02
26;8.5906590080796204e-06;2.8304525656473135e-03;2.5065141580108124e-02;1.3896793284731018e-01
27;1.3212612335878858e-05;3.1541816230323070e-03;5.1185640334697628e-02;1.2070112014505750e-01
28;4.9997248792246686e-06;2.6687213003698902e-03;3.2705103983049003e-02;1.9723584811454092e-01
29;9.2624655714052676e-06;1.7197617631561198e-02;3.0255250608773557e-02;6.0196907921825277e-02
30;9.9053830667971574e-06;6.2057174985434595e-03;4.5870339367463479e-02;9.6932168389365941e-02
31;2.2807029650758549e-06;3.7690938360479664e-03;1.9000241875926215e-02;4.8859082156142764e-02
32;1.0615981083202889e-05;4.2341384670215093e-03;5.1111120014303228e-02;1.0897420937143630e-01
33;2.6305205324121942e-06;3.7180507409672967e-03;2.2993755456502927e-02;1.3854505257403063e-01
34;5.3351890026366725e-05;9.6392312057357477e-03;6.9519500921268809e-02;2.0689342634981361e-01
35;2.4418906792521956e-05;5.2883396906286198e-03;6.8351658302689453e-02;8.5643680375525610e-03
36;5.5072636154234986e-05;1.0515846128413170e-02;1.0480493462211157e-01;3.9468936741587926e-02
37;5.9563868043812616e-06;1.7237868379235926e-03;3.4806416786891642e-02;3.1335761572378461e-02
38;1.4179922128999543e-05;2.3756445497264429e-03;4.8049477822087010e-02;5.0696489106983461e-02
39;1.1367573333078858e-05;4.7333031007629712e-03;4.8921355243386450e-02;1.1100302646361859e-01
40;5.4841935001835839e-06;2.7695412503385189e-03;3.3893336893009204e-02;2.0859367701382697e-01
41;2.7567185356499195e-05;5.4381158618538109e-03;7.2016775338093197e-02;1.4736436052722379e-01
42;8.1887998751887079e-06;8.3239205767810850e-03;3.6169386487590313e-02;8.6131622841896294e-02
43;1.6549820215175388e-06;2.3927289205949195e-03;1.8606292609370613e-02;5.9559428801790798e-02
44;3.8587747526767176e-06;6.4473629632422411e-03;2.0504203128148428e-02;1.7685240388100536e-02
45;5.1606927688831814e-05;1.0523765272289740e-02;9.5031509713374360e-02;2.0754690692644136e-02
46;1.2279402753654634e-05;2.1500418723348290e-03;4.1397667271519140e-02;2.2946668283826487e-02
47;5.7841118697150623e-05;8.1441151165986530e-03;9.7871122901307506e-02;3.1712914280437210e-02
48;1.1083231475304252e-05;4.6061956563102253e-03;4.7683462789865141e-02;2.7314694547435159e-01
49;5.0567524991248478e-05;8.7838989528624296e-03;9.4861294387234160e-02;1.3432504600802364e-01
50;7.0199584215248000e-06;3.1596904519383745e-03;4.1005436718705365e-02;1.7914579431526212e-01
