Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;5;6;3.6162318025106073e+00;3.6162318025106086e+00;1.0000000000000000e+00;1.8129866073473580e-16;1.8200548080610227e-16;0.0000000000000000e+00;2.7033888781673549e-17;1.8094607032568510e-16;1.9381459561879497e-16
1;5;6;4.0319365335307262e+00;4.0319365335307271e+00;1.0000000000000000e+00;1.4377638216952162e-16;1.5700924586837749e-16;2.2204460492503131e-16;1.1508796098529734e-16;1.6983466257709300e-16;1.0993959720591557e-16
2;4;6;4.3380704102679433e+00;4.3380704102679424e+00;1.0000000000000000e+00;1.4533076660998760e-16;1.2900869971729179e-16;0.0000000000000000e+00;1.3462247999978849e-16;9.2015838515702665e-17;6.3596013107845015e-17
3;7;12;4.0099490807497205e+00;4.0099490807497187e+00;1.0000000000000000e+00;1.4499908698411631e-16;1.6149396685400919e-17;0.0000000000000000e+00;1.7596796975907707e-16;1.2541634251011514e-16;2.8401958441422424e-16
4;6;6;1.2722950855723237e+01;1.2722950855723235e+01;1.0000000000000000e+00;8.2589356980009599e-18;3.2065023398077031e-16;2.2204460492503131e-16;1.4258425839967970e-17;1.6880271353609421e-16;2.4152754056555780e-16
5;5;6;4.4811987612114681e+00;4.4811987612114681e+00;1.0000000000000000e+00;1.8129866073473580e-16;2.8944421324470240e-16;2.2204460492503131e-16;3.1266765751703034e-17;1.3320621401059913e-16;1.6667118076809889e-16
6;4;6;3.6527137798640941e+00;3.6527137798640932e+00;1.0000000000000000e+00;1.4444459513666497e-16;1.9642504054360693e-16;2.2204460492503131e-16;1.2449954875909456e-16;1.8506510418890841e-16;6.5092594645258374e-17
7;4;6;4.1057956612295472e+00;4.1057956612295454e+00;1.0000000000000000e+00;2.8713385560740992e-16;3.6909002253243110e-16;2.2204460492503131e-16;7.3728418271047668e-17;2.8160427034618002e-16;5.3298655404908411e-17
8;5;6;3.8274419195539755e+00;3.8274419195539742e+00;1.0000000000000000e+00;1.8497933761715089e-16;3.1770234261348216e-16;0.0000000000000000e+00;1.6523655346411526e-16;2.0049066703289685e-16;1.4719616800160392e-16
9;5;6;4.7714369997019741e+00;4.7714369997019723e+00;1.0000000000000000e+00;1.4670469361451039e-16;1.6129508258291978e-16;2.2204460492503131e-16;2.2965474850969007e-16;1.9438528231805786e-16;1.2777036254241408e-16
10;5;6;3.9256188060284543e+00;3.9256188060284547e+00;1.0000000000000000e+00;1.7916147020621912e-17;2.5664528847817071e-16;1.1102230246251565e-16;4.0256637925290465e-17;2.2468332613064404e-16;2.3413626440101030e-16
11;5;6;3.5885683366988368e+00;3.5885683366988359e+00;1.0000000000000000e+00;6.7155684443736992e-17;2.1766459664338159e-16;0.0000000000000000e+00;1.3499752588964279e-16;1.1044551248359545e-16;1.1698777571738765e-16
