Id;error_L2;error_H1;norm_L2;norm_H1
0;1.7081403075776161e-10;1.2724919521412352e-05;7.1428160328400900e-05;2.4034611395646568e-05
1;1.7463266792119131e-10;9.7778699901012490e-06;1.4949082127233752e-04;5.0301642657155694e-05
2;3.0595540196792892e-11;2.0792924028982720e-06;1.6073858155133990e-05;5.4086362103000115e-06
3;2.6251247467354493e-11;8.7938477472282513e-07;4.8788707499278978e-05;1.6416741238326246e-05
4;2.1748595476587289e-09;1.2632999954525427e-04;8.9709840460545898e-04;1.6288600332816806e-04
5;5.7413487522351606e-10;1.6792096143301621e-04;1.1521165945811039e-03;2.8830909991153500e-03
6;1.1948732557633475e-07;3.5354905218363663e-04;1.7309464454634044e-03;2.0558827882959665e-03
7;1.5157338190286405e-09;2.2029770061313085e-04;1.4445795768110315e-03;5.0314212767718592e-04
8;5.5339537701380675e-08;1.1413916526013760e-03;5.6125007365647323e-03;6.7428693588980869e-03
9;9.8374280565171673e-10;2.3188954279947840e-05;4.6019351821884551e-04;1.7726801101304495e-03
10;4.5382522537454102e-10;1.4181850441040003e-05;2.9576103772168528e-04;9.8784753970413889e-05
11;3.5465055929493360e-09;1.4540832030646901e-04;2.1219169723404791e-03;1.0349454723988481e-02
12;1.4287725882997110e-08;2.8886809795808995e-04;1.3747905038818005e-03;1.3555321705051242e-04
13;2.1072501747127100e-09;1.1505483821275700e-04;1.0332068846481864e-03;1.8801461011021311e-03
14;3.6127772469930839e-09;2.1886715827001383e-05;2.5677986456150724e-04;7.8997931526673221e-04
15;2.2287976470472162e-08;2.5440724063774845e-04;2.1635305477797442e-03;6.6187163623513904e-03
16;9.1273028795906833e-13;5.7221402433599359e-06;7.5996661980154716e-05;6.4064138080630951e-04
17;3.7756399212837728e-09;1.1751293677244909e-04;2.2891151250214259e-03;6.8175167793228433e-03
18;8.1237982215600713e-09;4.4892006715008617e-04;2.5632900684165213e-03;3.6523561017028968e-03
19;2.2891981105514845e-07;7.0299183476842022e-04;3.1324040426207577e-03;9.6429435252835122e-03
20;1.0325104338925538e-09;2.1554202434293209e-05;7.7372827730345212e-04;3.7885055282935436e-03
21;3.0020721985126259e-09;2.7310874370270704e-06;3.7720724527442838e-04;1.4735059622152536e-03
22;9.0937700342685523e-09;9.2149689776465439e-05;3.4509954476043760e-03;7.9653703981419771e-03
23;2.6393010715321509e-09;1.3592106623258509e-04;2.2732097663822285e-03;5.0477081388252444e-03
24;2.2344304967272801e-07;6.9133699920855636e-04;9.4456921313487291e-03;1.9554962337839502e-02
25;5.3315480761229259e-07;6.7930100316689187e-04;5.4810068720580959e-03;1.6330974909725154e-02
26;5.9835756326934088e-07;9.6392379456351350e-04;5.5769912296385667e-03;9.8901648196532670e-03
27;8.1502247762013626e-07;1.1975943783123582e-03;1.1784923138645927e-02;2.7537826911604703e-02
28;1.5507710524062307e-07;1.4733614480645814e-04;1.1218609020231212e-02;2.0521712009875410e-02
29;4.3869252406367360e-08;5.9777530418469169e-04;3.5333492486272107e-03;6.3240750810942842e-03
30;4.5570202665809774e-09;7.7884883998018817e-05;3.2000753054315044e-03;1.5244000300535805e-02
31;3.1977125368323510e-10;4.2251362272076609e-06;5.9395698528914051e-04;6.7285151986161001e-03
32;1.5934595004418077e-07;2.8021398379108567e-04;4.2156468031414882e-03;2.2000017956877969e-02
33;1.9061830060812639e-08;1.7949794626489243e-04;2.0495988899236189e-03;2.1694318317270568e-02
34;2.8146902976202331e-08;2.7956622146395641e-04;5.2476368209379435e-03;4.3281978581170361e-02
35;2.5099405302942395e-07;1.9265023490092089e-04;3.7305521099012364e-03;2.0308505273885297e-02
36;9.3348229518521727e-09;4.8175258775358372e-05;2.2084102462369211e-03;1.3113126203464434e-02
37;1.1845296712423242e-09;2.1729876547406729e-05;1.0284150059261612e-03;1.0343988352626827e-02
38;2.4500854345299683e-12;2.9996709212585442e-07;2.1205867196127788e-04;2.6619025150680610e-03
39;1.1625567269906905e-08;2.6235255565821149e-05;8.2596308905375827e-04;8.0469721674935827e-03
40;1.1258923429848530e-07;1.2178232586937954e-04;2.1320478344516620e-03;1.7937247603267328e-02
41;7.8024427408316925e-10;4.1817299339370456e-06;3.5855471328819042e-04;3.8092280497974418e-03
42;6.7324366011632600e-08;1.1716875587041353e-04;1.7959174568843324e-03;1.4406902721543982e-02
43;1.0582130188877817e-09;5.3677925260764260e-06;4.8703749938387567e-04;5.2131629017668308e-03
44;2.5499649473563803e-08;8.4527695303099898e-05;1.3576521914010773e-03;6.6149899006676550e-03
45;1.7017936455044165e-06;1.1085776795323162e-03;1.9812231728352038e-02;8.1211618918838491e-02
46;5.0971890920383505e-08;1.8021899992690110e-04;6.7678379548949553e-03;1.7891989343601578e-02
47;2.0237789102113264e-08;5.6646187082970371e-06;2.6123908393403178e-03;3.7167693696699999e-03
48;2.4449701575105035e-08;1.2169319687400712e-05;3.4579757073221629e-03;4.7689637068564763e-03
49;1.7452768070664339e-08;5.0042589341084109e-06;1.7730907286181733e-03;1.8853337759867116e-03
50;2.7826817754718055e-07;2.4818103226196788e-04;1.4761200032264849e-02;3.4239568779911300e-02
