Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;9.6339533210147081e+00;9.6339533210147135e+00;1.0000000000000000e+00;3.9405707998558403e-16;3.4110926919897320e-16;0.0000000000000000e+00;1.5946516942276707e-16;3.9449576808136665e-16;1.2326503012361553e-31
1;3;3;1.1424974872996316e+01;1.1424974872996307e+01;1.0000000000000000e+00;2.6429353316056481e-16;6.0216647223131479e-16;4.4408920985006262e-16;3.5741567367089526e-17;1.0215901589356282e-16;1.6059619381843247e-32
2;3;3;5.6613427417437929e+00;5.6613427417437974e+00;1.0000000000000000e+00;2.3170087872037560e-16;6.8524285465651620e-16;2.2204460492503131e-16;2.5868170282637774e-17;2.4450686604958750e-16;5.9361203414302325e-32
3;3;3;3.3466901903917154e+00;3.3466901903917181e+00;1.0000000000000000e+00;4.4873553148354640e-16;5.6604757349349245e-16;0.0000000000000000e+00;1.3714587508493337e-16;5.3781786630771456e-16;1.0138965082152963e-31
4;3;3;3.8065757205476163e+00;3.8065757205476185e+00;1.0000000000000000e+00;4.2283625258952005e-16;3.8300347791827488e-16;2.2204460492503131e-16;1.5053301969007356e-16;5.3652252304379646e-16;8.0415294207462174e-32
5;3;3;1.0397033445151511e+01;1.0397033445151516e+01;1.0000000000000000e+00;1.9300439116167741e-16;6.2043347811368988e-16;2.2204460492503131e-16;1.2291213017339241e-16;2.5194194568413962e-16;3.1341482022552970e-32
6;3;3;7.3734288908187819e+00;7.3734288908187722e+00;1.0000000000000000e+00;1.9300439116167741e-16;4.7048225075437900e-16;0.0000000000000000e+00;4.4049340816710528e-17;3.0247140691972438e-16;6.7882224527127805e-32
7;3;3;8.5898811990571851e+00;8.5898811990571762e+00;1.0000000000000000e+00;3.0990273725817614e-16;1.5236311093238946e-15;2.2204460492503131e-16;4.4097429678653299e-17;3.7478999534510660e-16;1.0629581275595258e-31
8;3;3;5.2491078282211996e+00;5.2491078282212031e+00;1.0000000000000000e+00;2.3725369328793975e-16;5.1230861355770844e-16;0.0000000000000000e+00;1.2074400110177408e-16;3.1544970555518845e-16;7.2768675801680986e-32
9;3;3;2.9460832822664629e+00;2.9460832822664633e+00;1.0000000000000000e+00;1.8841790955622570e-16;2.6086303820526651e-16;2.2204460492503131e-16;6.1727837378981491e-17;2.4973541714798776e-16;5.2940445109381895e-32
10;3;3;6.6558828532063758e+00;6.6558828532063785e+00;1.0000000000000000e+00;2.6821166226865320e-16;5.0739401387478331e-16;1.1102230246251565e-16;4.1595573304358093e-17;2.0505689092272468e-16;4.9961620719876995e-32
11;3;3;4.3261889432816103e+00;4.3261889432816121e+00;1.0000000000000000e+00;1.6024689053196368e-17;3.6891604655173876e-16;4.4408920985006262e-16;2.1659457370814203e-16;3.9113894583520963e-17;1.2376275517496873e-31
12;3;3;5.3535831204315407e+00;5.3535831204315389e+00;1.0000000000000000e+00;3.1767708303541691e-16;5.0190799627606098e-16;0.0000000000000000e+00;3.0243094277585283e-17;2.7055238300233888e-16;1.2713217474077552e-31
13;3;3;9.3463779971218006e+00;9.3463779971218006e+00;1.0000000000000000e+00;2.1660206812512948e-16;3.0484443929770961e-16;1.1102230246251565e-16;2.5190373419984927e-17;1.8539897172638068e-16;5.0828051976516141e-32
14;3;3;9.8124513491122940e+00;9.8124513491123029e+00;1.0000000000000000e+00;3.3918465133136807e-16;2.7485210428002485e-15;3.3306690738754696e-16;1.8070032784984304e-17;3.5513715177211485e-16;6.3597156540565207e-32
15;3;3;1.0980946188704042e+01;1.0980946188704051e+01;1.0000000000000000e+00;6.8443433588605761e-16;6.7322768331310439e-16;2.2204460492503131e-16;1.6170028716364378e-16;6.0964590390938363e-16;2.0415135135226940e-31
16;3;3;4.3405635473501949e+00;4.3405635473501958e+00;1.0000000000000000e+00;1.6024689053196368e-16;4.4002290517168554e-16;0.0000000000000000e+00;5.0220044764535174e-17;2.2814440010711202e-16;1.8238637782096955e-32
17;3;3;1.6667253633299755e+01;1.6667253633299712e+01;1.0000000000000000e+00;6.2249265442309586e-16;1.1311174646835752e-14;4.4408920985006262e-16;3.0511795400722939e-16;4.7535751955291471e-16;1.1346661017664426e-30
18;3;3;2.8070759426146683e+00;2.8070759426146683e+00;1.0000000000000000e+00;1.6253720238463650e-16;1.9712850880089187e-16;0.0000000000000000e+00;1.2048744328523203e-16;2.5150510897230506e-16;3.5461407837252855e-32
19;3;3;4.7123881687697686e+00;4.7123881687697748e+00;1.0000000000000000e+00;3.9063774684518390e-16;4.7415210868960958e-16;2.2204460492503131e-16;2.0820696094173069e-17;4.8577868152816164e-16;1.3663355453862662e-31
20;3;3;3.3976498806807838e+00;3.3976498806807833e+00;1.0000000000000000e+00;9.4485383859330329e-17;9.1792938218003222e-17;1.1102230246251565e-16;1.3380021790882217e-16;1.8587914931252254e-16;7.7578408259771493e-33
21;3;3;3.8040206826523701e+00;3.8040206826523701e+00;1.0000000000000000e+00;2.0661908697064688e-16;4.7482859941554954e-16;1.1102230246251565e-16;2.7305051810007116e-17;1.9930835906832978e-16;1.8962556927420270e-32
22;3;3;5.8147866520732645e+00;5.8147866520732698e+00;1.0000000000000000e+00;2.2452442248970580e-16;6.3277234092373728e-16;4.4408920985006262e-16;1.9004938717861404e-16;1.0428590318412553e-16;1.2862274325580907e-31
23;3;3;2.3154552749193606e+01;2.3154552749193762e+01;1.0000000000000000e+00;6.5092594645258374e-17;3.1321149443250423e-14;0.0000000000000000e+00;2.7141740361752617e-17;9.3801504518051005e-17;2.6239678740380643e-31
24;3;3;2.1466822185941062e+01;2.1466822185941115e+01;1.0000000000000000e+00;8.0111425847667946e-16;3.7887980814988036e-14;2.2204460492503131e-16;1.6599482801064853e-16;8.6514063724151333e-16;2.1004461621925256e-30
25;3;3;6.3255191951029897e+00;6.3255191951029905e+00;1.0000000000000000e+00;3.2889673943313843e-16;3.2891850102144387e-16;4.4408920985006262e-16;1.2585061976732106e-16;3.4814057547874333e-16;1.0094892189628806e-31
26;3;3;8.9938535234483687e+00;8.9938535234483581e+00;1.0000000000000000e+00;4.9078471693608219e-16;1.8318679906315083e-15;2.2204460492503131e-16;5.6561036040867920e-17;4.2036491054066396e-16;1.8659772282212024e-31
27;3;3;5.0075127961529811e+00;5.0075127961529757e+00;1.0000000000000000e+00;1.6129508258291978e-16;2.2835181900804821e-16;2.2204460492503131e-16;3.8709763094005517e-17;3.7801162042334453e-16;5.9728785815197213e-32
28;3;3;2.0525423368372046e+01;2.0525423368372131e+01;1.0000000000000000e+00;5.4785046537951174e-16;5.4100724529527748e-14;0.0000000000000000e+00;1.6813360844241904e-16;7.0654472447890893e-16;2.7365205792775548e-31
29;3;3;3.7647357727153823e+00;3.7647357727153863e+00;1.0000000000000000e+00;3.7004542835432039e-16;5.7938725331741228e-16;2.2204460492503131e-16;5.1598507034338298e-17;3.1499203721014410e-16;2.2350994420142440e-31
30;3;3;2.9251602450479339e+01;2.9251602450479339e+01;1.0000000000000000e+00;2.2263110651841912e-16;6.1502899589023835e-16;1.1102230246251565e-16;5.7336402645979443e-17;4.6217654670579020e-16;8.7869932044385365e-32
31;3;3;5.7302864879480904e+00;5.7302864879480886e+00;1.0000000000000000e+00;2.6814433536895164e-16;8.7715962788006885e-16;2.2204460492503131e-16;2.3831194550275453e-16;2.6652747057621588e-16;3.3225620261852546e-32
32;3;3;5.8306756716170067e+00;5.8306756716170067e+00;1.0000000000000000e+00;1.9654664666748466e-16;2.9220547282520613e-16;0.0000000000000000e+00;3.8450931304673854e-17;2.5909944721644928e-16;2.4554673877380873e-32
33;3;3;5.7650719231119494e+00;5.7650719231119467e+00;1.0000000000000000e+00;1.6651613567527972e-16;5.4581640552548571e-16;0.0000000000000000e+00;1.3634271520230391e-16;2.7541043198655415e-16;3.2520783438032297e-32
