Id;X;Y;Z;num_solution;ext_solution;error_inf
0;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
1;0.0000000000000000e+00;4.4970700000000002e-02;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
2;0.0000000000000000e+00;2.7128192000000001e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
3;0.0000000000000000e+00;6.3982722000000003e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
4;7.4374328000000001e-01;8.0034696000000005e-01;0.0000000000000000e+00;1.5317584074230874e+00;1.5872732017489333e+00;5.5514794325845829e-02
5;0.0000000000000000e+00;6.8531556999999999e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
6;8.6489746999999995e-01;6.1129085000000005e-01;0.0000000000000000e+00;1.4893484605085592e+00;1.5442431605755966e+00;5.4894700067037450e-02
7;0.0000000000000000e+00;9.0936216000000003e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
8;8.9269076999999997e-01;1.8828969000000001e-01;0.0000000000000000e+00;1.3759371476073867e+00;1.3342532949511952e+00;4.1683852656191567e-02
9;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
10;9.6667073999999997e-01;1.3920703000000001e-01;0.0000000000000000e+00;1.1449947326306171e+00;1.1617709252338446e+00;1.6776192603227491e-02
11;7.1124712000000001e-01;8.9143030000000001e-01;0.0000000000000000e+00;1.4206639917461401e+00;1.4180261689797025e+00;2.6378227664376475e-03
12;7.1832688000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
13;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
14;7.6348360000000004e-02;2.9652750999999999e-01;0.0000000000000000e+00;1.3141909944052983e+00;1.3353639859314763e+00;2.1172991526178020e-02
15;8.3963170000000004e-02;9.3248801999999997e-01;0.0000000000000000e+00;1.1834687415660430e+00;1.1774721932156877e+00;5.9965483503552353e-03
16;8.6096110000000003e-02;1.3455689000000001e-01;0.0000000000000000e+00;1.2421104386744786e+00;1.2466049059394786e+00;4.4944672650000239e-03
17;8.0875116999999996e-01;8.8097311000000000e-01;0.0000000000000000e+00;1.3362284465645105e+00;1.3595024308847179e+00;2.3273984320207441e-02
18;1.1816148000000000e-01;4.9112883000000002e-01;0.0000000000000000e+00;1.4574420227997371e+00;1.5166661746680059e+00;5.9224151868268793e-02
19;1.2483536000000001e-01;8.7500728000000005e-01;0.0000000000000000e+00;1.2878560721737387e+00;1.2911805682608615e+00;3.3244960871228191e-03
20;1.3770510999999999e-01;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
21;9.5009688000000003e-01;8.2290136999999997e-01;0.0000000000000000e+00;1.1921132112169304e+00;1.2105550436996524e+00;1.8441832482722020e-02
22;1.6973327999999999e-01;3.4944563000000001e-01;0.0000000000000000e+00;1.5686686597831800e+00;1.6125872848717075e+00;4.3918625088527508e-02
23;1.7205593000000000e-01;8.0041828999999998e-01;0.0000000000000000e+00;1.4287760795093687e+00;1.4641064490749933e+00;3.5330369565624631e-02
24;1.9340508000000001e-01;0.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
25;2.1421924000000001e-01;1.5501364000000001e-01;0.0000000000000000e+00;1.4177909666322344e+00;1.4527763484534584e+00;3.4985381821224015e-02
26;2.1517915000000001e-01;5.5270609000000004e-01;0.0000000000000000e+00;1.7080284681480968e+00;1.7680022689639976e+00;5.9973800815900757e-02
27;2.1629841999999999e-01;4.2065329000000001e-01;0.0000000000000000e+00;1.7059764074623676e+00;1.7609778209687237e+00;5.5001413506356123e-02
28;2.2527400000000000e-01;6.8631162999999995e-01;0.0000000000000000e+00;1.6945624062360398e+00;1.7011722982712527e+00;6.6098920352128943e-03
29;2.2579277000000000e-01;9.4885987999999999e-01;0.0000000000000000e+00;1.2304079985996395e+00;1.2357222540261734e+00;5.3142554265339648e-03
