Id;error_L2;error_H1;norm_L2;norm_H1
0;2.2305425986012380e-04;2.0111646564389858e-02;8.5920441483261348e-02;2.3126000815151951e-01
1;4.4112470480395447e-05;5.5396906784553638e-03;4.9541648316043761e-02;4.5249311359299736e-02
2;1.6207435376534962e-04;2.3765741795184203e-02;8.7940102134590151e-02;3.6569991340861413e-01
3;4.4025245268571891e-05;7.8331973211484291e-03;7.1922469913566434e-02;1.5469733468881594e-01
4;2.6977810322839882e-06;6.1492015063726521e-03;2.2554922510379390e-02;6.6783329068627439e-02
5;1.3585009575631095e-05;1.2762537484433730e-02;3.5514200559419395e-02;4.9681389491692603e-02
6;1.4074084979377423e-04;9.5325212567235265e-03;8.1285954303706248e-02;2.6809469580828488e-01
7;9.4568752769877784e-05;6.9476493701739308e-03;6.7378785361539600e-02;8.5643992951945830e-02
8;1.6837596723908043e-04;1.0293599936525490e-02;9.7873669988701159e-02;2.3593489250199721e-02
9;2.5443706527152922e-04;1.3365477072035807e-02;8.5646640179245614e-02;4.1833585968369322e-03
10;1.3403235320742654e-05;1.9522644816877689e-02;4.2925233253230471e-02;7.1125927856583643e-02
11;1.3276131329024258e-04;2.9381670318585455e-02;8.9073091552295675e-02;2.5341118348272673e-01
12;4.2089452712229191e-05;1.4053166248694361e-02;4.9455296606607378e-02;1.8367191474319416e-01
13;1.2386762761018404e-03;5.1531027318256470e-02;2.3020782612187424e-01;1.3065458570904115e-01
14;8.8859330869236358e-05;2.3198957765337546e-02;6.9682744165388388e-02;2.5142147236523227e-01
15;1.0913547623907180e-04;9.3786012856351686e-03;8.3317278718076565e-02;1.6535044152373377e-01
16;1.5534057105131934e-05;3.0182119513443677e-03;3.1431981752894550e-02;1.8625501843465875e-01
17;2.7244191262028458e-04;2.2317062005724919e-02;1.1595843915866041e-01;1.3833079614924215e-01
18;5.7962502908104428e-04;3.4553269027768660e-02;1.4816442055987039e-01;1.9383239442343783e-01
19;9.2020515386502088e-05;1.3901668905541422e-02;5.5248619759669965e-02;2.6661336173819605e-01
20;4.3187667679175909e-05;2.9373959017334416e-03;5.6223097379205209e-02;1.0667185026304241e-01
21;4.3473167526865804e-04;4.7687406706638368e-02;1.1897248988599626e-01;2.7811162734460698e-01
22;6.7066727205493561e-05;2.4603860131952413e-02;3.8658147466190215e-02;6.4712042899994077e-02
23;4.0930763524890993e-05;1.7154693503104546e-02;2.8493573333819723e-02;4.7922093119268525e-02
24;1.0381839104088800e-05;3.2226539637495214e-03;3.0580279841698515e-02;1.6272000531814754e-01
25;1.5404931909884754e-05;2.9175067962312036e-03;1.8447711501407234e-02;6.7486779155901830e-02
26;4.0499415821920692e-05;1.6915098605120502e-02;6.5072214060511377e-02;1.7232157589054992e-01
27;2.7529928105921977e-06;4.3131422279489434e-03;1.4834549962761373e-02;1.1364817545721707e-02
28;9.2293124223532664e-06;6.9123435162870492e-03;4.5544729808910875e-02;9.9536574522208210e-02
29;9.2052051769797263e-05;2.0137919205078798e-02;8.4273955742974666e-02;3.3283091513099811e-01
30;2.1087285456866821e-04;1.2288017053516533e-02;9.8394345848118167e-02;2.8076351158211634e-02
31;1.8323499748194633e-04;1.1858701927264339e-02;8.5807480433008759e-02;3.4304280734002990e-03
