Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;4;6;4.9140034178343095e+00;4.9140034178343077e+00;1.0000000000000000e+00;2.1633330221815095e-16;3.2407927985898339e-16;4.4408920985006262e-16;1.7156263652306787e-16;1.5412390803657987e-16;1.1006485047661834e-16
1;5;9;6.0258678071696794e+00;6.0258678071696838e+00;1.0000000000000000e+00;1.5345849280081397e-16;6.9942206236071907e-16;1.1102230246251565e-16;1.4786926588835410e-16;8.2925333385162740e-17;6.9076123464451631e-17
2;5;9;7.8458896138345287e+00;7.8458896138345287e+00;1.0000000000000000e+00;3.9012416565412800e-16;7.3996683100386707e-16;0.0000000000000000e+00;9.5133773921926648e-18;2.3536315286493240e-16;2.1499026497152054e-16
3;4;6;4.3493531070963414e+00;4.3493531070963423e+00;1.0000000000000000e+00;1.8428392411175822e-16;3.2089414821698485e-16;0.0000000000000000e+00;1.5050684748918013e-17;1.7241450630106045e-16;1.3887542199293331e-16
4;4;6;5.6733453914756620e+00;5.6733453914756593e+00;1.0000000000000000e+00;9.2857680647233963e-17;2.3236662510288850e-16;0.0000000000000000e+00;3.8601446284292159e-17;1.4409187216982902e-16;8.7686153576003949e-17
5;5;9;4.8755614311215183e+00;4.8755614311215192e+00;1.0000000000000000e+00;1.8584494523485010e-16;4.3290764951093355e-16;4.4408920985006262e-16;3.6372798484572860e-17;2.2041356790447794e-16;1.0971354589302190e-16
6;4;6;3.4017269970645683e+00;3.4017269970645674e+00;1.0000000000000000e+00;2.0615250206132596e-16;2.5159272148758032e-16;1.1102230246251565e-16;2.7735840455853596e-17;3.7490509875829133e-16;8.2686463841276262e-17
7;5;9;9.0172850529505908e+00;9.0172850529505872e+00;1.0000000000000000e+00;3.1009081830926847e-16;2.5031765226292671e-16;0.0000000000000000e+00;1.1975285210875588e-16;2.9776597195556995e-16;1.6989665988919176e-16
8;5;9;3.1582088533748625e+00;3.1582088533748638e+00;1.0000000000000000e+00;2.0285636086914789e-16;2.6040119711444096e-16;0.0000000000000000e+00;1.5161313614793966e-16;1.2187374369136359e-16;2.6143151856928431e-16
9;5;9;4.1694164975330112e+00;4.1694164975330130e+00;1.0000000000000000e+00;1.4556524908888935e-16;2.0569461214566873e-16;0.0000000000000000e+00;2.6029337611330593e-17;2.8948558512954103e-17;1.3047254887769332e-16
10;4;6;4.0879807577756209e+00;4.0879807577756191e+00;1.0000000000000000e+00;2.5913463179262940e-16;3.4564700811206446e-16;0.0000000000000000e+00;1.2691597032911308e-16;2.7625415440671644e-16;1.4169622320385585e-16
11;5;9;5.3436004590832669e+00;5.3436004590832669e+00;1.0000000000000000e+00;2.6625227016807483e-16;4.5340596836293873e-16;4.4408920985006262e-16;2.6294899903523322e-17;2.6128920929415156e-16;1.8502271417716019e-16
12;4;6;3.3480553549228187e+00;3.3480553549228178e+00;1.0000000000000000e+00;1.9642504054360693e-16;1.5474407573543691e-16;0.0000000000000000e+00;4.0768103511445988e-17;2.7785943047769339e-16;5.7219584981527968e-17
13;4;6;3.4616733904604220e+00;3.4616733904604220e+00;1.0000000000000000e+00;1.0057407499989148e-16;9.2141962055879109e-17;2.2204460492503131e-16;2.8449579850493726e-17;4.7970449100476040e-17;1.7677164180852906e-16
14;4;6;5.6341722496354407e+00;5.6341722496354407e+00;1.0000000000000000e+00;2.9170876693974999e-16;3.4794361436156839e-16;2.2204460492503131e-16;1.2956131051282290e-17;2.0601388503008497e-16;9.4474766927574882e-17
15;5;9;6.4824160892421361e+00;6.4824160892421396e+00;1.0000000000000000e+00;2.3364091435625254e-16;2.7378604489120980e-16;0.0000000000000000e+00;1.6907205799194784e-16;1.9825080531313135e-16;2.7002685790173821e-16
16;5;9;6.6492669081121392e+00;6.6492669081121445e+00;1.0000000000000000e+00;1.9970678322235079e-16;4.6481202577843501e-16;1.1102230246251565e-16;3.1788510835853076e-17;3.1373416251605195e-16;4.6063951999972312e-16
17;5;9;6.5934323659110774e+00;6.5934323659110774e+00;1.0000000000000000e+00;1.2898148310186799e-16;4.0231624676309553e-16;2.2204460492503131e-16;1.1740664516824271e-17;1.7066445590460715e-16;1.9082155362394393e-16
18;5;9;5.7595501342463553e+00;5.7595501342463562e+00;1.0000000000000000e+00;1.3646001300671963e-16;2.3404413579838660e-16;0.0000000000000000e+00;1.0794605159934145e-17;2.7735278997347756e-16;3.2195689748780522e-16
19;5;9;4.4191882366838984e+00;4.4191882366838993e+00;1.0000000000000000e+00;7.2222297568332486e-17;2.2509555071921687e-16;1.1102230246251565e-16;2.3934327939073976e-16;1.2330697896971317e-16;2.1138016631127878e-16
20;5;9;5.9555493046901899e+00;5.9555493046901935e+00;1.0000000000000000e+00;1.3773311131392579e-16;2.5012121933210449e-16;0.0000000000000000e+00;1.7395013579606930e-17;5.5432878271060895e-17;1.7063234276523002e-16
21;5;9;1.6960746483948700e+01;1.6960746483948661e+01;1.0000000000000000e+00;5.4804085142185293e-16;5.6759134194187181e-16;2.2204460492503131e-16;3.5504399536469492e-17;1.1758362082223026e-16;3.5342516360900111e-16
22;4;6;4.3772238794654097e+00;4.3772238794654124e+00;1.0000000000000000e+00;1.2925727162353099e-16;3.0383588004210681e-16;2.2204460492503131e-16;1.6675395243267759e-17;1.3832647408454814e-16;7.7268252391266300e-17
23;4;6;5.6039278583974346e+00;5.6039278583974363e+00;1.0000000000000000e+00;1.4188016166080944e-16;2.6334298436477041e-16;2.2204460492503131e-16;4.2776078347636909e-17;1.2697574106675357e-16;8.6857519559502596e-17
24;5;9;6.7512622411083498e+00;6.7512622411083498e+00;1.0000000000000000e+00;2.2567412338788417e-16;3.2579104468125491e-16;3.3306690738754696e-16;1.6077985034724880e-17;1.9934623147621598e-16;3.0132800912169427e-16
25;4;6;3.0661040196293978e+00;3.0661040196293978e+00;1.0000000000000000e+00;1.0416047884577638e-16;2.1986550799095257e-16;0.0000000000000000e+00;1.7423266719122785e-17;9.5876730463006848e-17;1.4169622320385585e-16
26;5;9;5.4988060961607257e+00;5.4988060961607266e+00;1.0000000000000000e+00;2.6641045550938962e-16;6.4688208250556511e-16;0.0000000000000000e+00;3.7479860754554689e-17;1.8271632979257051e-16;3.1225986287974960e-16
